OBJECTID,DPTOMPIO,CODIGO_VER,NOM_DEP,NOMB_MPIO,NOMBRE_VER,VIGENCIA,FUENTE,DESCRIPCIO,SEUDONIMOS,AREA_HA,COD_DPTO,ShapeSTArea,ShapeSTLength
13694,23001,23001083,CÓRDOBA,MONTERÍA,LAS LOMAS,2011,POT,Veredas Repetidas,NULL,1699.9978599,23,17491521.9548214,36835.7921377321
13695,23001,23001102,CÓRDOBA,MONTERÍA,MARTINICA,2011,POT,NULL,NULL,4528.14145622,23,46589738.1108053,45765.6856358882
13696,23001,23001060,CÓRDOBA,MONTERÍA,JARAQUIEL,2011,POT,NULL,NULL,11458.5826173,23,117890862.707035,82877.0433470463
13697,20400,20400007,CESAR,LA JAGUA DE IBIRICO,CAMPO ALEGRE,2000,PBOT MUNICIPIO DE LA JAGUA DE IBIRICO,NULL,NULL,872.98624847,20,9029308.38718086,14108.6079043825
13698,23672,23672003,CÓRDOBA,SAN ANTERO,LAS NUBES,2007,ALCALDIA MUNICIPAL,NULL,NULL,2324.62492519,23,24007939.1085856,23700.2194129885
13699,23672,23672001,CÓRDOBA,SAN ANTERO,BIJAITO,2007,ALCALDIA MUNICIPAL,NULL,NULL,1580.20051902,23,16325266.0237458,21288.0840348853
13700,23672,23672002,CÓRDOBA,SAN ANTERO,CERRO PETRONA,2007,ALCALDIA MUNICIPAL,NULL,NULL,707.25695864,23,7305325.57401492,12563.0840459465
13701,23672,23672007,CÓRDOBA,SAN ANTERO,SANTA ROSA,2007,ALCALDIA MUNICIPAL,NULL,NULL,2791.8583738,23,28832887.0412155,42255.9989446876
13702,23672,23672008,CÓRDOBA,SAN ANTERO,TIJERETA,2007,ALCALDIA MUNICIPAL,NULL,NULL,1150.654797,23,11880433.4682317,24318.0513053904
13703,23672,23672000,CÓRDOBA,SAN ANTERO,CABECERA MUNICIPAL,2007,ALCALDIA MUNICIPAL,NULL,NULL,1044.63039393,23,10791042.7029303,26636.148207305
13704,20400,20400031,CESAR,LA JAGUA DE IBIRICO,SALSIPUEDES II,2000,PBOT MUNICIPIO DE LA JAGUA DE IBIRICO,NULL,NULL,1963.82810991,20,20317478.335442,20000.0032723276
13705,20710,20710013,CESAR,SAN ALBERTO,GUADUAS,2010,POT,NULL,NULL,2741.56887141,20,28110266.9870203,25808.1467081199
13706,20710,20710006,CESAR,SAN ALBERTO,CAROLINA,2010,POT,NULL,NULL,973.1279816,20,9979019.42829187,16882.6185388128
13707,23001,23001147,CÓRDOBA,MONTERÍA,TRES PIEDRAS,2011,POT,NULL,NULL,7825.35642872,23,80394298.0213745,76607.6988044914
13708,23001,23001150,CÓRDOBA,MONTERÍA,VILLAVICENCIO,2011,POT,NULL,NULL,1383.87970069,23,14218327.4709796,23010.4102967265
13709,20400,20400020,CESAR,LA JAGUA DE IBIRICO,LA TRINIDAD,2000,PBOT MUNICIPIO DE LA JAGUA DE IBIRICO,NULL,NULL,547.20766009,20,5659725.86406721,14774.5162418687
13710,20400,20400009,CESAR,LA JAGUA DE IBIRICO,CAUDALOSO,2000,PBOT MUNICIPIO DE LA JAGUA DE IBIRICO,NULL,NULL,1195.75417423,20,12367804.5154757,16739.6434314636
13711,23001,23001120,CÓRDOBA,MONTERÍA,PUENTE LARGO,2011,POT,NULL,NULL,1962.28037369,23,20158760.2568174,23427.6698676848
13712,23001,23001039,CÓRDOBA,MONTERÍA,EL HIGITO,2011,POT,NULL,NULL,745.41085141,23,7662039.36847724,18778.1207333111
13713,23168,23168014,CÓRDOBA,CHIMA,SITIO VIEJO,2006,POT,NULL,NULL,3363.68758964,23,34698770.2081061,44266.1025263959
13714,23168,23168008,CÓRDOBA,CHIMA,MALEMBA,2006,POT,NULL,NULL,269.57331659,23,2781753.85015681,7322.40007182352
13715,23168,23168000,CÓRDOBA,CHIMA,CABECERA,2006,POT,NULL,NULL,5354.82504943,23,55254479.9647029,50651.6116218021
13716,23001,23001068,CÓRDOBA,MONTERÍA,LA FRONTERA,2011,POT,NULL,NULL,2199.50381859,23,22603415.2011864,25692.4019430682
13717,23001,23001126,CÓRDOBA,MONTERÍA,SALAMINA,2011,POT,NULL,NULL,418.47740386,23,4302624.93499255,9351.75254373713
13718,23068,23068018,CÓRDOBA,AYAPEL,LA CEIBA ARRIBA,2012,CATASTRO IGAC,NULL,NULL,4157.54173637,23,42679828.9615731,42462.6416639667
13719,23068,23068020,CÓRDOBA,AYAPEL,LA UNION,2012,CATASTRO IGAC,NULL,NULL,124.46214003,23,1277505.72496648,5936.28875971124
13720,23068,23068044,CÓRDOBA,AYAPEL,TREJOS,2012,CATASTRO IGAC,NULL,NULL,8874.67469079,23,91131176.5501225,104028.272989488
13721,23068,23068035,CÓRDOBA,AYAPEL,POPALES,2012,CATASTRO IGAC,NULL,NULL,9487.07653507,23,97425333.775226,69565.3018872868
13722,23068,23068006,CÓRDOBA,AYAPEL,CAÑO GIL,2012,CATASTRO IGAC,NULL,NULL,1201.60280863,23,12346899.8896613,17152.3710323717
13723,23660,23660049,CÓRDOBA,SAHAGÚN,VEREDA LOS CHIBOLOS,2011,POT,CAMBIO DE CODIGO Y NOMBRE DE MPIO,NULL,1409.00322604,23,14505968.356862,22717.3461760591
13724,23660,23660004,CÓRDOBA,SAHAGÚN,VEREDA BAJO DEL LIMÓN,2011,POT,CAMBIO DE CODIGO Y NOMBRE DE MPIO,NULL,1543.93419804,23,15908244.8713227,21780.2092270669
13725,23001,23001084,CÓRDOBA,MONTERÍA,LAS NUBES,2011,POT,NULL,NULL,197.15654161,23,2025752.84496977,6300.87986854428
13726,23001,23001091,CÓRDOBA,MONTERÍA,LOMA VERDE,2011,POT,NULL,NULL,1195.63964215,23,12285282.539064,26485.0614445695
13727,23001,23001076,CÓRDOBA,MONTERÍA,LA PUENTE,2011,POT,NULL,NULL,1210.91698684,23,12442266.1458546,23254.5012234534
13728,23001,23001042,CÓRDOBA,MONTERÍA,EL NEGRO,2011,POT,NULL,NULL,1034.22170019,23,10635307.8899827,20547.5795160645
13729,23001,23001146,CÓRDOBA,MONTERÍA,TRES PALOS,2011,POT,NULL,NULL,532.79687843,23,5478339.46014027,17060.8399728738
13730,23001,23001016,CÓRDOBA,MONTERÍA,CALLE BARRIDA,2011,POT,NULL,NULL,885.78269747,23,9107921.53604509,13947.3980691195
13731,23001,23001009,CÓRDOBA,MONTERÍA,BIJAGUAL,2011,POT,Veredas Repetidas,NULL,3407.41246278,23,35035000.7298567,41028.0567088219
13732,23001,23001130,CÓRDOBA,MONTERÍA,SAN FELIPE,2011,POT,NULL,NULL,542.26309788,23,5581106.31784097,15896.6805919595
13733,23001,23001030,CÓRDOBA,MONTERÍA,EL CLAVAL,2011,POT,NULL,NULL,262.49404484,23,2702522.03737497,9514.22158197111
13734,20517,20517029,CESAR,PAILITAS,PALESTINA,2010,POT,NULL,NULL,999.31318426,20,10302698.2597034,18626.1764026128
13735,20517,20517017,CESAR,PAILITAS,LA CABAÑA,2010,POT,NULL,NULL,548.70404789,20,5656774.97254056,12894.8820802678
13736,20517,20517020,CESAR,PAILITAS,LA FLORESTA,2010,POT,NULL,NULL,423.08390255,20,4361011.53833535,11075.8566799233
13737,20517,20517036,CESAR,PAILITAS,SAN JOSE DE TAGUAJE,2010,POT,NULL,NULL,1098.67178705,20,11331724.9595152,17436.8576236354
13738,20517,20517032,CESAR,PAILITAS,RAYA GRANDE,2010,POT,NULL,NULL,871.46377167,20,8992074.51387016,17976.4607317097
13739,23182,23182003,CÓRDOBA,CHINÚ,ANDALUCIA,2009,POT,NULL,NULL,860.50356538,23,8871366.69771423,19830.0706992905
13740,23182,23182010,CÓRDOBA,CHINÚ,EL PARAISO,2009,POT,NULL,NULL,2654.65760557,23,27368236.4348988,26742.8043423537
13741,23182,23182006,CÓRDOBA,CHINÚ,CARBONERO,2009,POT,NULL,NULL,2354.00001284,23,24270615.825113,25746.9009516633
13742,23001,23001080,CÓRDOBA,MONTERÍA,LAS FLORES,2011,POT,NULL,NULL,1011.61662569,23,10390729.1669788,21502.2899764807
13743,23001,23001119,CÓRDOBA,MONTERÍA,PUEBLO NUEVO,2011,POT,NULL,NULL,2314.87937937,23,23811619.2194291,33435.1017770694
13744,23001,23001038,CÓRDOBA,MONTERÍA,EL GUINEO,2011,POT,NULL,NULL,10138.2006806,23,104244395.442159,64334.7131794331
13745,23001,23001111,CÓRDOBA,MONTERÍA,NUEVO PARAISO,2011,POT,NULL,NULL,1060.11417943,23,10908962.6456609,24530.0708081677
13746,23001,23001125,CÓRDOBA,MONTERÍA,SABANAL,2011,POT,NULL,NULL,1564.01581234,23,16100464.3116087,30306.2507512267
13747,23001,23001064,CÓRDOBA,MONTERÍA,LA CEIBA,2011,POT,NULL,NULL,2875.98067802,23,29614097.3091576,45111.9463012838
13748,23001,23001073,CÓRDOBA,MONTERÍA,LA MORA,2011,POT,NULL,NULL,2871.4400861,23,29552940.2276148,41700.1279389715
13749,23001,23001122,CÓRDOBA,MONTERÍA,QUEBRADA DEL MEDIO,2011,POT,NULL,NULL,1501.64780396,23,15454410.636121,24399.487153232
