area;rooms;title;property_id;stratum;offer;garages;baths;price;property_type;location;location_main;new;longitude;latitude;localidadgenerada
70;3;Apartamento en Arriendo;82a2557e-4bd8-4408-8cb4-faeed388186c;Estrato 3;Arriendo;0;2;950000;Apartamento;POINT (-74.1225814819336 4.60306978225708);Santa Rita;FALSO;-74,12258148;4,603069782;Localidad Puente Aranda
124;3;Apartamento en Arriendo;6154c60f-edf2-42b1-bc0e-866a17824374;Estrato 6;Arriendo;2;3;4650000;Apartamento;POINT (-74.044 4.705);NoIdentificado;FALSO;-74,044;4,705;Localidad Usaquén
56;2;Apartamento en Arriendo;c7ac9c91-48af-4c73-8e52-c25e093dd56d;Estrato 3;Arriendo;0;1;810523;Apartamento;POINT (-74.067082 4.6530551);NoIdentificado;FALSO;-74,067082;4,6530551;Localidad Barrios Unidos
200;3;Apartamento en Arriendo;a3ae820c-f9dc-4379-9129-3a81aa6bf966;Estrato 6;Arriendo;2;3;8000000;Apartamento;POINT (-74.03976635767211 4.705452936069563);La carolina;FALSO;-74,03976636;4,705452936;Localidad Usaquén
160;3;Apartamento en Arriendo;fea0e40d-56b7-42e5-a3c4-a27eac6bffbf;Estrato 6;Arriendo;2;4;11300000;Apartamento;POINT (-74.04957054064428 4.70164062256978);NoIdentificado;FALSO;-74,04957054;4,701640623;Localidad Usaquén
45;2;Apartamento en Arriendo;fe20003d-0f29-468a-aa51-97b19d8ed139;Estrato 3;Arriendo;0;2;850000;Apartamento;POINT (-74.1556396484375 4.638250827789307);El tintal;FALSO;-74,15563965;4,638250828;Localidad Kennedy
60;2;Apartamento en Arriendo;75ac0b03-f174-460f-9656-b80c1a6f8b2e;Estrato 3;Arriendo;0;2;1000000;Apartamento;POINT (-74.095 4.583);NoIdentificado;FALSO;-74,095;4,583;Localidad Antonio Nariño
42;2;Apartamento en Arriendo;5f9fe621-ea2a-40ca-9e76-fb323f7bbc7d;Estrato 2;Arriendo;0;1;681661;Apartamento;POINT (-74.1905736 4.6435472);NoIdentificado;FALSO;-74,1905736;4,6435472;Localidad Bosa
50;2;Apartamento en Arriendo;9d925cb8-446d-4c65-8a26-b9b484c6b67b;Estrato 3;Arriendo;0;2;750000;Apartamento;POINT (-74.155010038128 4.601849999559);NoIdentificado;FALSO;-74,15501004;4,60185;Localidad Bosa
210;3;Apartamento en Arriendo;b0396066-334e-4fd3-848d-6dd2b42f82a7;Estrato 6;Arriendo;3;3;10000000;Apartamento;POINT (-74.0528 4.67068);La cabrera;FALSO;-74,0528;4,67068;Localidad Chapinero
44;2;Apartamento en Arriendo;e238409e-64eb-4701-9a34-b04470d93337;Estrato 3;Arriendo;0;2;1060000;Apartamento;POINT (-74.1673581 4.694903699999999);NoIdentificado;FALSO;-74,1673581;4,6949037;Localidad Fontibón
82;2;Apartamento en Arriendo;674a2921-fe3a-47a6-8eeb-4bf18dc01545;Estrato 6;Arriendo;2;2;5000000;Apartamento;POINT (-74.04276109999999 4.6764357);Chico norte;FALSO;-74,0427611;4,6764357;Localidad Chapinero
94;3;Apartamento en Arriendo;c4254990-203c-474d-891b-a4591a963345;Estrato 4;Arriendo;1;2;3500000;Apartamento;POINT (-74.1174903 4.6734999);Modelia;FALSO;-74,1174903;4,6734999;Localidad Fontibón
170;2;Apartamento en Arriendo;5043fc60-fea5-4422-8779-29684a4c6c85;Estrato 6;Arriendo;3;3;3500000;Apartamento;POINT (-74.05448000601235 4.682530008574261);Chico norte;FALSO;-74,05448001;4,682530009;Localidad Chapinero
212;3;Apartamento en Arriendo;7a23a4a5-2734-40ac-addf-808708c50a96;Estrato 6;Arriendo;3;3;10500000;Apartamento;POINT (-74.051 4.659);NoIdentificado;FALSO;-74,051;4,659;Localidad Chapinero
82;2;Apartamento en Arriendo;ac818827-a154-4c21-8cfc-bdecd6f97a77;Estrato 6;Arriendo;2;2;4500000;Apartamento;POINT (-74.0505305 4.6793933);Chico norte;FALSO;-74,0505305;4,6793933;Localidad Chapinero
75;2;Apartamento en Arriendo;0c26d2c2-7aae-4de7-919d-33ad8ff70f98;Estrato 6;Arriendo;2;2;3800000;Apartamento;POINT (-74.04276109999999 4.6764357);NoIdentificado;FALSO;-74,0427611;4,6764357;Localidad Chapinero
142;3;Apartamento en Arriendo;92dad78f-07b0-43a9-a8a4-68e36809ecb2;Estrato 6;Arriendo;2;2;5000000;Apartamento;POINT (-74.0471646 4.6812359);NoIdentificado;FALSO;-74,0471646;4,6812359;Localidad Chapinero
43;3;Apartamento en Arriendo;c577b830-97d8-489f-b0e6-50a47a6bfc36;Estrato 3;Arriendo;0;2;800400;Apartamento;POINT (-74.1675412 4.6958572);NoIdentificado;FALSO;-74,1675412;4,6958572;Localidad Fontibón
98;2;Apartamento en Arriendo;91f1a2c4-573d-4e5e-84c6-a899e76ca8b6;Estrato 6;Arriendo;2;2;5500000;Apartamento;POINT (-74.0415077 4.706799500000001);La carolina;FALSO;-74,0415077;4,7067995;Localidad Usaquén
88;2;Apartamento en Arriendo;0fbc6d6a-e2d0-4d01-9bf3-41d1d5daca0f;Estrato 6;Arriendo;2;2;5700000;Apartamento;POINT (-74.0487393 4.6614037);NoIdentificado;FALSO;-74,0487393;4,6614037;Localidad Chapinero
200;2;Apartamento en Arriendo;ff018581-bd75-47ff-8ed0-8efbfb0612ee;Estrato 6;Arriendo;2;3;11500000;Apartamento;POINT (-74.0465821 4.6620942);Zona chapinero;FALSO;-74,0465821;4,6620942;Localidad Chapinero
66;2;Apartamento en Arriendo;f0fc7099-5abc-49f5-bd22-e4c287b305ab;Estrato 5;Arriendo;2;2;2300000;Apartamento;POINT (-74.0610164 4.6941805);NoIdentificado;FALSO;-74,0610164;4,6941805;Localidad Suba
56;2;Apartamento en Arriendo;f1b52289-3032-4793-a81d-d476fd378fec;Estrato 3;Arriendo;1;2;1720000;Apartamento;POINT (-74.0278003 4.753456799999999);NoIdentificado;FALSO;-74,0278003;4,7534568;Localidad Usaquén
45;1;Apartamento en Arriendo;40519e9f-6b22-41f3-b56d-f45bda9add15;Estrato 3;Arriendo;1;2;2100000;Apartamento;POINT (-74.065366 4.642407);Chapinero central;FALSO;-74,065366;4,642407;Localidad Chapinero
86;3;Apartamento en Arriendo;a72ed8d1-778e-443d-9679-9d3fa96ede3b;Estrato 3;Arriendo;1;2;1300000;Apartamento;POINT (-74.026 4.758);NoIdentificado;FALSO;-74,026;4,758;Localidad Usaquén
24;1;Apartamento en Arriendo;e915139e-5cae-435a-af82-f1257509b3cf;Estrato 3;Arriendo;0;1;850000;Apartamento;POINT (-74.15779113769531 4.5985260009765625);Madelena;FALSO;-74,15779114;4,598526001;Localidad Bosa
366;3;Apartamento en Arriendo;fbccb904-704d-472d-8d1e-2cc51b296046;Estrato 6;Arriendo;5;5;29000000;Apartamento;POINT (-74.042376 4.669396);NoIdentificado;FALSO;-74,042376;4,669396;Localidad Chapinero
42;2;Apartamento en Arriendo;f6d9d930-a2de-4ad8-8861-0bb295c6f4c1;Estrato 3;Arriendo;0;1;900000;Apartamento;POINT (-74.1009363 4.692091);NoIdentificado;FALSO;-74,1009363;4,692091;Localidad Engativá
